Aorta,Gallbladder,Kidney(L),Kidney(R),Liver,Pancreas,Spleen,Stomach
0.5940728783607483,0.07822448760271072,0.8184084892272949,0.5102472305297852,0.7450142502784729,0.16760855913162231,0.636787474155426,0.5887569785118103
0.533700704574585,0.5599386096000671,0.7750476598739624,0.4600909948348999,0.6278235912322998,0.32442378997802734,0.7842559814453125,0.10214416682720184
0.6072618365287781,0.24830393493175507,0.7073513269424438,0.6892439126968384,0.7426294088363647,0.3482396900653839,0.7400820255279541,0.6772408485412598
0.6438429951667786,0.36251601576805115,0.7214422225952148,0.7594045996665955,0.8013326525688171,0.22847777605056763,0.6026777625083923,0.42584267258644104
0.7000916004180908,0.660660982131958,0.7903401851654053,0.6106682419776917,0.5981603860855103,0.22938787937164307,0.6752712726593018,0.6476621627807617
0.6301913857460022,0.5989024043083191,0.6778873205184937,0.6249403953552246,0.6047764420509338,0.14318349957466125,0.646560549736023,0.40111085772514343
0.6114495992660522,0.2804878056049347,0.7263866662979126,0.667062520980835,0.6925714015960693,0.3748883605003357,0.8760665059089661,0.5259360074996948
0.6628411412239075,0.4859687089920044,0.7321269512176514,0.6102741360664368,0.7476349472999573,0.3382163345813751,0.5874528288841248,0.6040180325508118
0.5557399392127991,0.6465625166893005,0.5625103116035461,0.6206541061401367,0.6228013634681702,0.3306007981300354,0.6121609210968018,0.3981255292892456
0.67063969373703,0.4056016504764557,0.721811056137085,0.7385847568511963,0.762299120426178,0.447290301322937,0.7667532563209534,0.5114397406578064
0.466033399105072,0.011093501932919025,0.7179799675941467,0.5973842144012451,0.7653603553771973,0.3828812837600708,0.5928966403007507,0.3432696461677551
