Dice Score,IoU Score,HausDorff Distance
0.6795650473989836,0.5687174797058105,18.639070247247567
0.6927715061218714,0.5723670721054077,14.327868952851352
0.7576528443351622,0.6386438012123108,12.667504061187723
0.7357073134530643,0.6147083044052124,13.854881295849454
0.774232598835455,0.6555047631263733,11.844035224588524
0.7165732482572029,0.5892130136489868,17.720555340558516
0.7575269342794209,0.637663722038269,20.845276161711606
0.7669590194176998,0.6395500302314758,12.815290289649758
0.7298874350083997,0.5921147465705872,15.997371316405479
0.6566707896225736,0.5401514768600464,20.22361232788506
0.7877457414973085,0.6679887771606445,14.384491728258693

